question,experiment_group,seed,repo_id,canonical_metric_path,run_manifest_present,review_summary_present,approval_status_present,run_status_values,validation_status_values,approval_status_values,companion_backbone_confirmed,metric_artifact_present,training_completion_evidence,pragmatic_f1_present,sarcasm_f1_present,implicit_f1_present,ece_present
Q1a,q1a_xlmr_pragmatic_finetune,21,Thundergod2007/vipragsent-experiment-artifacts,server_20260808/results/runs/q1a_xlmr_pragmatic_finetune_20260521/metrics.json,True,True,True,PASS,PASS,APPROVED,True,True,PASS,True,True,True,False
Q1a,q1a_xlmr_pragmatic_finetune,22,Thundergod2007/vipragsent-experiment-artifacts,server_20260808/results/runs/q1a_xlmr_pragmatic_finetune_20260522/metrics.json,True,True,True,PASS,PASS,APPROVED,True,True,PASS,True,True,True,False
Q1a,q1a_xlmr_pragmatic_finetune,23,Thundergod2007/vipragsent-experiment-artifacts,server_20260808/results/runs/q1a_xlmr_pragmatic_finetune_20260523/metrics.json,True,True,True,PASS,PASS,APPROVED,True,True,PASS,True,True,True,False
Q2,xlmr_followup_q2_full,21,Thundergod2007/vipragsent-experiment-artifacts-overflow-019,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q2_full_20260521/metrics.json,True,True,True,PASS,PASS,APPROVED,True,True,PASS,True,True,True,True
Q2,xlmr_followup_q2_full,22,Thundergod2007/vipragsent-experiment-artifacts-overflow-016,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q2_full_20260522/metrics.json,True,True,True,PASS,PASS,APPROVED,True,True,PASS,True,True,True,True
Q2,xlmr_followup_q2_full,23,Thundergod2007/vipragsent-experiment-artifacts-overflow-015,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q2_full_20260523/metrics.json,True,True,True,PASS,PASS,APPROVED,True,True,PASS,True,True,True,True
Q2,xlmr_followup_q2_no_emotion_auxiliary,21,Thundergod2007/vipragsent-experiment-artifacts-overflow-014,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q2_no_emotion_auxiliary_20260521/metrics.json,True,True,True,PASS,PASS,APPROVED,True,True,PASS,True,True,True,True
Q2,xlmr_followup_q2_no_emotion_auxiliary,22,Thundergod2007/vipragsent-experiment-artifacts-overflow-013,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q2_no_emotion_auxiliary_20260522/metrics.json,True,True,True,PASS,PASS,APPROVED,True,True,PASS,True,True,True,True
Q2,xlmr_followup_q2_no_emotion_auxiliary,23,Thundergod2007/vipragsent-experiment-artifacts-overflow-012,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q2_no_emotion_auxiliary_20260523/metrics.json,True,True,True,PASS,PASS,APPROVED,True,True,PASS,True,True,True,True
Q2,xlmr_followup_q2_no_multitask,21,Thundergod2007/vipragsent-experiment-artifacts-overflow-018,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q2_no_multitask_20260521/metrics.json,True,True,True,"NOT_STARTED,PASS",PASS,APPROVED,True,True,PASS,True,True,True,True
Q2,xlmr_followup_q2_no_multitask,22,Thundergod2007/vipragsent-experiment-artifacts-overflow-025,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q2_no_multitask_20260522/metrics.json,True,True,True,"NOT_STARTED,PASS",PASS,APPROVED,True,True,PASS,True,True,True,True
Q2,xlmr_followup_q2_no_multitask,23,Thundergod2007/vipragsent-experiment-artifacts-overflow-012,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q2_no_multitask_20260523/metrics.json,True,True,True,"NOT_STARTED,PASS",PASS,APPROVED,True,True,PASS,True,True,True,True
Q2,xlmr_followup_q2_no_polarity_auxiliary,21,Thundergod2007/vipragsent-experiment-artifacts-overflow-011,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q2_no_polarity_auxiliary_20260521/metrics.json,True,True,True,PASS,PASS,APPROVED,True,True,PASS,True,True,True,False
Q2,xlmr_followup_q2_no_polarity_auxiliary,22,Thundergod2007/vipragsent-experiment-artifacts-overflow-010,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q2_no_polarity_auxiliary_20260522/metrics.json,True,True,True,PASS,PASS,APPROVED,True,True,PASS,True,True,True,False
Q2,xlmr_followup_q2_no_polarity_auxiliary,23,Thundergod2007/vipragsent-experiment-artifacts-overflow-009,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q2_no_polarity_auxiliary_20260523/metrics.json,True,True,True,PASS,PASS,APPROVED,True,True,PASS,True,True,True,False
Q2,xlmr_followup_q2_no_rationale,21,Thundergod2007/vipragsent-experiment-artifacts-overflow-008,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q2_no_rationale_20260521/metrics.json,True,True,True,PASS,PASS,APPROVED,True,True,PASS,True,True,True,True
Q2,xlmr_followup_q2_no_rationale,22,Thundergod2007/vipragsent-experiment-artifacts-overflow-007,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q2_no_rationale_20260522/metrics.json,True,True,True,PASS,PASS,APPROVED,True,True,PASS,True,True,True,True
Q2,xlmr_followup_q2_no_rationale,23,Thundergod2007/vipragsent-experiment-artifacts-overflow-018,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q2_no_rationale_20260523/metrics.json,True,True,True,PASS,PASS,APPROVED,True,True,PASS,True,True,True,True
