sample_id,is_sarcasm_positive,positive_selected_for_budget,sarcasm_target_mask,rationale_loss_mask
fresh_visobert_10072,0,0,1,1
fresh_visobert_00448,0,0,1,1
fresh_visobert_08823,0,0,1,1
fresh_visobert_03624,0,0,1,1
fresh_visobert_10563,0,0,1,1
fresh_visobert_08400,0,0,1,1
fresh_visobert_06858,0,0,1,1
fresh_visobert_01866,0,0,1,1
fresh_visobert_05220,0,0,1,1
fresh_visobert_09664,0,0,1,1
fresh_visobert_11127,1,1,1,1
fresh_visobert_10588,0,0,1,1
fresh_visobert_09027,0,0,1,1
fresh_visobert_03524,0,0,1,1
fresh_visobert_08183,0,0,1,1
fresh_visobert_01229,0,0,1,1
fresh_visobert_11308,1,0,0,0
fresh_visobert_09934,0,0,1,1
fresh_visobert_09268,0,0,1,1
fresh_visobert_03741,0,0,1,1
fresh_visobert_08979,0,0,1,1
fresh_visobert_00656,0,0,1,1
fresh_visobert_06226,0,0,1,1
fresh_visobert_11503,0,0,1,1
fresh_visobert_03267,0,0,1,1
fresh_visobert_07813,0,0,1,1
fresh_visobert_07053,0,0,1,1
fresh_visobert_02425,0,0,1,1
fresh_visobert_03237,0,0,1,1
fresh_visobert_11672,0,0,1,1
fresh_visobert_10144,0,0,1,1
fresh_visobert_11720,0,0,1,1
fresh_visobert_10914,0,0,1,1
fresh_visobert_07408,1,1,1,1
fresh_visobert_04789,0,0,1,1
fresh_visobert_06828,0,0,1,1
fresh_visobert_10213,0,0,1,1
fresh_visobert_00822,0,0,1,1
fresh_visobert_11699,0,0,1,1
fresh_visobert_07919,0,0,1,1
fresh_visobert_10818,0,0,1,1
fresh_visobert_09325,0,0,1,1
fresh_visobert_01274,0,0,1,1
fresh_visobert_10810,0,0,1,1
fresh_visobert_07983,0,0,1,1
fresh_visobert_10375,0,0,1,1
fresh_visobert_11727,0,0,1,1
fresh_visobert_02463,0,0,1,1
fresh_visobert_10163,0,0,1,1
fresh_visobert_06416,0,0,1,1
fresh_visobert_06778,0,0,1,1
fresh_visobert_05505,0,0,1,1
fresh_visobert_10076,0,0,1,1
fresh_visobert_11657,0,0,1,1
fresh_visobert_00076,1,1,1,1
fresh_visobert_09684,0,0,1,1
fresh_visobert_11358,0,0,1,1
fresh_visobert_09890,0,0,1,1
fresh_visobert_02255,0,0,1,1
fresh_visobert_09156,0,0,1,1
fresh_visobert_08300,0,0,1,1
fresh_visobert_05624,0,0,1,1
fresh_visobert_02979,0,0,1,1
fresh_visobert_03679,0,0,1,1
fresh_visobert_04555,0,0,1,1
fresh_visobert_02196,0,0,1,1
fresh_visobert_11785,0,0,1,1
fresh_visobert_04910,0,0,1,1
fresh_visobert_00378,0,0,1,1
fresh_visobert_08192,0,0,1,1
fresh_visobert_08185,0,0,1,1
fresh_visobert_10672,0,0,1,1
fresh_visobert_04619,0,0,1,1
fresh_visobert_06294,0,0,1,1
fresh_visobert_03333,0,0,1,1
fresh_visobert_06842,0,0,1,1
fresh_visobert_07977,0,0,1,1
fresh_visobert_06657,0,0,1,1
fresh_visobert_00230,0,0,1,1
fresh_visobert_10331,0,0,1,1
fresh_visobert_06745,0,0,1,1
fresh_visobert_10139,0,0,1,1
fresh_visobert_06606,0,0,1,1
fresh_visobert_11810,0,0,1,1
fresh_visobert_06333,0,0,1,1
