id,comment,label
train_001908, Shop phục vụ rất kémKo có đạo đức nghề nghiệp ,negative
train_015521," Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền
",positive
train_012157, Chất lượng sản phẩm tuyệt vời .Đóng gói sản phẩm rất đẹp và chắc chắn giao hàng rất nhanh.,positive
train_002251, Shop tư vấn rất tốt ,positive
train_011443,Mình không nghĩ hàng chỉ còn hơn 1 tháng HSD mà TIKI vẫn giao đến KH - đặc biệt hàng dành cho trẻ em. Làm sao KH chỉ sử dụng chai này hết trong 1 tháng?,negative
train_003413,Dat hang mau nay gui mau kia nt thi khong tlaă,negative
train_008916, Chất lượng sản phẩm rất kém Thời gian giao hàng rất chậm Dịch vụ nhìn chung rất kém,negative
train_004951,IPhone 5 thuong 4 chan .con  iPhone 5s chi co 3 chan thoi.hoi chua,neutral
train_003061,Sản phẩm bị sử dụng rồi mà vẫn giao,negative
train_015072,Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt giá thành cũng rẻ chất lượng thì chưa dùng nên chưa biết. ,positive
train_016016, Chất lượng sản phẩm tuyệt vời.  Đóng gói sản phẩm rất đẹp và chắc chắn. Giao hàng nhanh như chớp. Đặt size to quá nên nhờ shop gửi lại thì dc trợ giúp. nhận dc hàng rất hài lòng. Thank shop,positive
train_012267,"Chất lượng sản phẩm rất kém
Lúc mới mua về cắm adapter rất lâu thì router mới lên nguồn. Sử dụng được đúng 2 ngày thì cổng Wan chết =))).  
Gọi số bảo hành thì số không gọi được. 
Rất không đáng tiền",negative
train_003062, Đóng gói sản phẩm rất đẹp và chắc chắn good,positive
train_007335,Mình mua bình này cách đây hơn 1 năm thấy sản phẩm đang giảm 45% nên vào góp ý cho các bạn định mua. Phải nói bình quá tệ lại hôi nữa chưa kể chỉ cần bình va chạm nhẹ là bị móp nhìn rất xấu nhất là cái nắp móp vô độ hở phát là móp. Mình xài được 1 thời gian là bên trong bình có cái gì như cục sỏi vậy rửa bình rất sạch không đụng gì nhưng lúc lắc lại nghe tiếng kêu bên trong. Rất ức chế vì chả biết cái bình nó chứa cái gì trong đó mà không biết nó độc hại hay không. Bây giờ mình đã vứt em nó 1 xó và không xài được nửa năm rùi. Công nhận hàng tàu mà rẻ có khác. Siêu cùi giảm 80% mình cũng không thèm mua lại,negative
train_008492,Đóng gói sp tốt ..giao hàng nhanh ..chất lượng thì chưa dùng lâu mà lịch thì thấy k chạy rồi,positive
train_008811,"Mình mua hàng nhiều lần ở Tiki từ sách cho tới sản phẩm kỹ thuật số và đây là lần đầu tiên mình muốn gửi đánh giá của mình cho sản phẩm này. Mình lướt fb thì thấy một friend của mình viết tút khá dài kèm một bức ảnh đang cầm quyển sinh trắc vân tay này (cũng chưa biết bạn ấy đọc hết chưa mà cầm cứ như quyển bí kiếp võ công thượng thừa vậy) bạn này cũng khá đam mê và có tiếng trong lĩnh vực này mình thấy cũng tò mò và muốn thử xem thế nào nên lên Tiki order. Sau khi nhận được sách và thao lược vài chục trang thì mình thấy sách dịch rất cùi cùi dã man cùi luôn đọc chả suôn gì cả cà khựng cà khựng ý tứ lủng củng đôi chỗ phải vận não ra suy nghĩ xem viết cái giống gì. Cảm tưởng như đọc mấy trang bói tử vi rẻ tiền trên mạng vậy (dù mình chẳng phải fan của tử vi tướng số gì cả). Không rõ cái này do dịch kém hay do ông tác giả viết loạn xà ngầu. Mình nhớ 1 cụm từ mà thề là suốt đời chắc mình không hiểu được ý nghĩa luôn: """"Hoạt động tinh"""" """"Hoạt động tinh"""" (nằm ở vài chục trang đầu trong sách ấy). Các bạn có hiểu hoạt động tinh là gì không? Tinh tờ rùng hay tinh tờ hần? Mà éo le cái là cụm từ này đi liền với trẻ em. """"Hoạt động tinh ở trẻ"""". Đọc rất buồn cười. Mình chưa đọc xong nhưng bấy nhiêu thôi cũng làm mình thấy mấy ông làm sách chả có tâm tí nào? Hay mình đang đọc bản lậu?",negative
