sample_id,source_row,adjudication_required,disagreement_fields,adjudicated_fields_recorded
fresh_visobert_04343,1,0,,none
fresh_visobert_01432,2,0,,none
fresh_visobert_10072,3,0,,none
fresh_visobert_00448,4,0,,none
fresh_visobert_11413,5,0,,none
fresh_visobert_09668,6,1,polarity,polarity
fresh_visobert_08823,7,0,,none
fresh_visobert_03766,8,1,emotion,emotion
fresh_visobert_06164,9,1,idiom_figurative,idiom_figurative
fresh_visobert_03624,10,1,idiom_figurative|emotion,"idiom_figurative,emotion"
fresh_visobert_02134,11,0,,none
fresh_visobert_10563,12,1,emotion,emotion
fresh_visobert_08400,13,0,,none
fresh_visobert_09983,14,0,,none
fresh_visobert_06858,15,0,,none
fresh_visobert_01073,16,0,,none
fresh_visobert_08764,17,0,,none
fresh_visobert_01866,18,1,polarity,polarity
fresh_visobert_05220,19,1,code_switching,code_switching
fresh_visobert_09222,20,0,,none
fresh_visobert_01831,21,0,,none
fresh_visobert_09664,22,0,,none
fresh_visobert_11127,23,0,,sarcasm
fresh_visobert_10588,24,0,,none
fresh_visobert_09027,25,0,,none
fresh_visobert_09269,26,0,,none
fresh_visobert_03524,27,1,emotion,emotion
fresh_visobert_08183,28,0,,none
fresh_visobert_11617,29,0,,none
fresh_visobert_01229,30,0,,none
fresh_visobert_11308,31,0,,none
fresh_visobert_09934,32,0,,none
fresh_visobert_09255,33,1,implicit_sentiment,implicit_sentiment
fresh_visobert_09268,34,1,mocking|emotion,"mocking,emotion"
fresh_visobert_03741,35,0,,none
fresh_visobert_08979,36,0,,none
fresh_visobert_06141,37,0,,none
fresh_visobert_00656,38,1,polarity,polarity
fresh_visobert_06226,39,1,implicit_sentiment,implicit_sentiment
fresh_visobert_05082,40,0,,none
fresh_visobert_04579,41,1,emotion,emotion
fresh_visobert_11503,42,0,,none
fresh_visobert_03267,43,0,,none
fresh_visobert_07813,44,0,,none
fresh_visobert_07053,45,0,,none
fresh_visobert_08658,46,0,,none
fresh_visobert_11252,47,1,emotion,emotion
fresh_visobert_02425,48,0,,none
fresh_visobert_03237,49,1,code_switching,code_switching
fresh_visobert_11672,50,0,,none
fresh_visobert_10144,51,0,,none
fresh_visobert_11720,52,0,,none
fresh_visobert_01176,53,0,,none
fresh_visobert_05572,54,0,,none
fresh_visobert_10914,55,0,,none
fresh_visobert_01020,56,1,implicit_sentiment|mocking,"implicit_sentiment,mocking"
fresh_visobert_07408,57,0,,none
fresh_visobert_04789,58,1,mocking|emotion,"mocking,emotion"
fresh_visobert_03832,59,0,,none
fresh_visobert_09700,60,1,mocking|emotion,"mocking,emotion"
fresh_visobert_10786,61,0,,none
fresh_visobert_06828,62,0,,none
fresh_visobert_10213,63,1,idiom_figurative|polarity,"idiom_figurative,polarity"
fresh_visobert_00822,64,0,,none
fresh_visobert_11699,65,1,emotion,emotion
fresh_visobert_07919,66,0,,none
fresh_visobert_06320,67,1,emotion,emotion
fresh_visobert_10818,68,0,,none
fresh_visobert_03163,69,0,,none
fresh_visobert_07805,70,1,code_switching,code_switching
fresh_visobert_09325,71,0,,none
fresh_visobert_01274,72,1,emotion,emotion
fresh_visobert_03228,73,1,emotion,emotion
fresh_visobert_10810,74,1,code_switching,code_switching
fresh_visobert_10481,75,0,,none
fresh_visobert_06872,76,0,,none
fresh_visobert_07983,77,0,,none
fresh_visobert_09493,78,0,,none
fresh_visobert_10375,79,0,,none
fresh_visobert_11727,80,1,idiom_figurative,idiom_figurative
fresh_visobert_06323,81,1,emotion,emotion
fresh_visobert_02463,82,0,,none
fresh_visobert_10163,83,0,,none
fresh_visobert_06416,84,0,,none
fresh_visobert_06778,85,1,emotion,emotion
fresh_visobert_05505,86,0,,none
fresh_visobert_09695,87,1,implicit_sentiment,implicit_sentiment
fresh_visobert_11467,88,1,emotion,emotion
fresh_visobert_10076,89,1,mocking|emotion,"mocking,emotion"
fresh_visobert_11657,90,0,,none
fresh_visobert_00076,91,1,emotion,emotion
fresh_visobert_09684,92,1,emotion,emotion
fresh_visobert_11358,93,0,,none
fresh_visobert_09890,94,0,,none
fresh_visobert_02255,95,1,code_switching,code_switching
fresh_visobert_10836,96,1,code_switching|emotion,"code_switching,emotion"
fresh_visobert_11172,97,0,,none
fresh_visobert_03292,98,0,,none
fresh_visobert_09156,99,0,,none
fresh_visobert_08300,100,0,,none
fresh_visobert_05624,101,0,,none
fresh_visobert_02979,102,1,emotion,emotion
fresh_visobert_02670,103,0,,none
fresh_visobert_03679,104,0,,none
fresh_visobert_04555,105,0,,none
fresh_visobert_02196,106,1,emotion,emotion
fresh_visobert_11785,107,0,,none
fresh_visobert_02559,108,0,,none
fresh_visobert_04910,109,0,,none
fresh_visobert_00378,110,0,,none
fresh_visobert_08192,111,1,polarity,polarity
fresh_visobert_08185,112,0,,none
fresh_visobert_09215,113,1,code_switching,code_switching
fresh_visobert_01067,114,0,,none
fresh_visobert_00957,115,0,,none
fresh_visobert_10672,116,0,,none
fresh_visobert_04619,117,1,emotion,emotion
fresh_visobert_06294,118,0,,none
fresh_visobert_03333,119,1,idiom_figurative|emotion,"idiom_figurative,emotion"
fresh_visobert_06842,120,0,,none
fresh_visobert_01127,121,0,,none
fresh_visobert_07977,122,0,,none
fresh_visobert_11323,123,0,,none
fresh_visobert_05585,124,1,emotion,emotion
fresh_visobert_06554,125,1,emotion,"emotion,sarcasm"
fresh_visobert_06657,126,1,emotion,emotion
fresh_visobert_00230,127,0,,none
fresh_visobert_10331,128,0,,none
fresh_visobert_06745,129,1,mocking,mocking
fresh_visobert_10139,130,1,polarity,polarity
fresh_visobert_01871,131,1,emotion,emotion
fresh_visobert_04164,132,1,mocking|emotion,"mocking,emotion"
fresh_visobert_06606,133,1,polarity,polarity
fresh_visobert_11810,134,0,,none
fresh_visobert_06333,135,1,polarity,polarity
fresh_visobert_03735,136,0,,none
fresh_visobert_04410,137,0,,none
fresh_visobert_05057,138,0,,none
fresh_visobert_11510,139,1,polarity,polarity
fresh_visobert_02047,140,0,,none
fresh_visobert_09816,141,1,mocking|emotion,"mocking,emotion"
fresh_visobert_00592,142,0,,none
fresh_visobert_11796,143,0,,none
fresh_visobert_03530,144,1,emotion,emotion
fresh_visobert_04583,145,0,,none
fresh_visobert_00950,146,0,,none
fresh_visobert_06025,147,0,,none
fresh_visobert_01622,148,1,implicit_sentiment|polarity|emotion,"implicit_sentiment,polarity,emotion"
fresh_visobert_00748,149,0,,none
fresh_visobert_00869,150,0,,none
fresh_visobert_03609,151,1,code_switching,code_switching
fresh_visobert_11880,152,0,,none
fresh_visobert_07590,153,0,,none
fresh_visobert_11112,154,0,,none
fresh_visobert_02874,155,1,implicit_sentiment,implicit_sentiment
fresh_visobert_03126,156,0,,none
fresh_visobert_09017,157,0,,none
fresh_visobert_00149,158,0,,none
fresh_visobert_05559,159,1,mocking|emotion,"mocking,emotion"
fresh_visobert_00621,160,0,,none
fresh_visobert_01926,161,0,,none
fresh_visobert_07722,162,1,emotion,emotion
fresh_visobert_06380,163,0,,none
fresh_visobert_05582,164,1,mocking|emotion,"mocking,emotion"
fresh_visobert_03706,165,0,,none
fresh_visobert_11834,166,0,,none
fresh_visobert_06254,167,0,,none
fresh_visobert_05765,168,0,,none
fresh_visobert_00982,169,0,,none
fresh_visobert_06227,170,0,,none
fresh_visobert_07006,171,0,,none
fresh_visobert_03602,172,0,,none
fresh_visobert_08879,173,0,,none
fresh_visobert_01915,174,0,,none
fresh_visobert_01816,175,0,,none
fresh_visobert_09548,176,0,,none
fresh_visobert_02089,177,0,,none
fresh_visobert_07157,178,0,,none
fresh_visobert_07798,179,0,,none
fresh_visobert_01434,180,0,,none
fresh_visobert_08571,181,1,code_switching,code_switching
fresh_visobert_07061,182,0,,none
fresh_visobert_01119,183,0,,none
fresh_visobert_05683,184,0,,none
fresh_visobert_01712,185,0,,none
fresh_visobert_11869,186,0,,none
fresh_visobert_03114,187,0,,none
fresh_visobert_02556,188,0,,none
fresh_visobert_04367,189,0,,none
fresh_visobert_03039,190,1,polarity,polarity
fresh_visobert_02584,191,0,,none
fresh_visobert_01821,192,0,,none
fresh_visobert_07306,193,0,,none
fresh_visobert_03300,194,0,,none
fresh_visobert_06870,195,0,,none
fresh_visobert_00300,196,1,code_switching,code_switching
fresh_visobert_05466,197,0,,none
fresh_visobert_05107,198,0,,none
fresh_visobert_06177,199,1,emotion,emotion
fresh_visobert_08977,200,1,implicit_sentiment|idiom_figurative,"implicit_sentiment,idiom_figurative"
fresh_visobert_04711,201,0,,none
fresh_visobert_11882,202,1,implicit_sentiment,implicit_sentiment
fresh_visobert_05051,203,1,emotion,emotion
fresh_visobert_11210,204,0,,none
fresh_visobert_07907,205,1,code_switching|polarity|emotion,"code_switching,polarity,emotion"
fresh_visobert_11929,206,0,,none
fresh_visobert_05002,207,1,code_switching|mocking|emotion,"code_switching,mocking,emotion"
fresh_visobert_01313,208,1,polarity|emotion,"polarity,emotion"
fresh_visobert_11324,209,0,,none
fresh_visobert_09901,210,0,,none
fresh_visobert_01113,211,0,,none
fresh_visobert_00454,212,0,,none
fresh_visobert_11126,213,0,,none
fresh_visobert_10069,214,1,polarity,polarity
fresh_visobert_04602,215,0,,none
fresh_visobert_10412,216,0,,none
fresh_visobert_11483,217,0,,none
fresh_visobert_07848,218,0,,none
fresh_visobert_07692,219,1,idiom_figurative,idiom_figurative
fresh_visobert_05194,220,0,,none
fresh_visobert_05948,221,0,,none
fresh_visobert_03330,222,1,idiom_figurative,idiom_figurative
fresh_visobert_08768,223,0,,none
fresh_visobert_06159,224,1,emotion,emotion
fresh_visobert_02056,225,0,,none
fresh_visobert_02277,226,0,,none
fresh_visobert_03209,227,0,,none
fresh_visobert_03922,228,0,,none
fresh_visobert_05253,229,0,,none
fresh_visobert_01567,230,1,mocking|emotion,"mocking,emotion"
fresh_visobert_03379,231,1,implicit_sentiment|polarity|emotion,"implicit_sentiment,polarity,emotion"
fresh_visobert_04959,232,0,,none
fresh_visobert_01203,233,0,,none
fresh_visobert_06033,234,0,,none
fresh_visobert_03186,235,0,,none
