sample_id,label,text,gold_label,phobert_prediction,azure_prediction,full_vistral_prediction,phobert_confidence,azure_confidence,full_vistral_confidence,stratum,selection_reason,reviewer_1_category,reviewer_2_category,adjudicated_category
fixture_test_0000,implicit_sentiment,synthetic fixture comment 0,1,1,1,0,0.480769417004695,0.648368381794221,0.6820636914279451,fixture,fixture validation,,,
fixture_test_0001,sarcasm,synthetic fixture comment 1,0,0,0,0,0.2316682940458282,0.33242449826505366,0.23375519344809292,fixture,fixture validation,,,
fixture_test_0002,irony,synthetic fixture comment 2,0,0,0,0,0.3957287374726176,0.01,0.2906179904781384,fixture,fixture validation,,,
fixture_test_0003,idiom_figurative,synthetic fixture comment 3,0,0,1,0,0.18687726593409013,0.28679314436913284,0.1763092620565897,fixture,fixture validation,,,
fixture_test_0004,code_switching,synthetic fixture comment 4,0,0,0,0,0.28741262610621904,0.4401698182414959,0.49643857565857097,fixture,fixture validation,,,
fixture_test_0005,mocking,synthetic fixture comment 5,0,0,0,0,0.47549847298607506,0.3867619987753706,0.45394251150507,fixture,fixture validation,,,
fixture_test_0006,implicit_sentiment,synthetic fixture comment 6,1,0,1,1,0.8053987201256427,0.6136302004499589,0.6085672419602663,fixture,fixture validation,,,
fixture_test_0007,sarcasm,synthetic fixture comment 7,1,1,1,1,0.7550190983096846,0.6703412096774346,0.5377183475117345,fixture,fixture validation,,,
fixture_test_0008,irony,synthetic fixture comment 8,0,0,0,0,0.22226759555053868,0.21457708356683447,0.4153489497231505,fixture,fixture validation,,,
fixture_test_0009,idiom_figurative,synthetic fixture comment 9,1,0,0,1,0.7056127524064985,0.6261613122292891,0.6913911370609306,fixture,fixture validation,,,
fixture_test_0010,code_switching,synthetic fixture comment 10,0,0,0,0,0.486963653428945,0.1294756918286005,0.2435933438397847,fixture,fixture validation,,,
fixture_test_0011,mocking,synthetic fixture comment 11,1,1,1,1,0.5505371751474786,0.8519990330035054,0.8356853639901494,fixture,fixture validation,,,
fixture_test_0012,implicit_sentiment,synthetic fixture comment 12,1,1,1,0,0.800503420113055,0.7986873878882683,0.41887294741167613,fixture,fixture validation,,,
fixture_test_0013,sarcasm,synthetic fixture comment 13,0,0,1,0,0.14102071707435285,0.36090377607828417,0.08716661265208955,fixture,fixture validation,,,
fixture_test_0014,irony,synthetic fixture comment 14,0,0,0,0,0.06717024838133293,0.40593802563512393,0.3679703991072113,fixture,fixture validation,,,
fixture_test_0015,idiom_figurative,synthetic fixture comment 15,0,0,0,0,0.13941712173591383,0.19229024697361563,0.1894860698315409,fixture,fixture validation,,,
fixture_test_0016,code_switching,synthetic fixture comment 16,0,0,0,1,0.14667640161317608,0.24921818479044894,0.5576185931799712,fixture,fixture validation,,,
fixture_test_0017,mocking,synthetic fixture comment 17,0,0,0,1,0.39019531408279856,0.40967545903130875,0.01,fixture,fixture validation,,,
fixture_test_0018,implicit_sentiment,synthetic fixture comment 18,1,1,1,1,0.511366030045548,0.9267930711090431,0.7789386661473235,fixture,fixture validation,,,
fixture_test_0019,sarcasm,synthetic fixture comment 19,1,1,1,1,0.5426994083886185,0.9664185669568619,0.7787530410644855,fixture,fixture validation,,,
