question,system,scope,backbone,run_id,seed,artifact_id,successful_gpu_hours,failed_or_retried_gpu_hours,status,azure_cost_usd,azure_cost_status
Q1a,PhoBERT (single-task),baseline,PhoBERT-base,q1a_phobert_pragmatic_single_task_20260521,21,resource::q1a_phobert_pragmatic_single_task_20260521,0.6778702416905596,0.0,RESOURCE_FOUND,,NOT_RECORDED
Q1a,PhoBERT (single-task),baseline,PhoBERT-base,q1a_phobert_pragmatic_single_task_20260522,22,resource::q1a_phobert_pragmatic_single_task_20260522,0.6660772144739167,0.0,RESOURCE_FOUND,,NOT_RECORDED
Q1a,PhoBERT (single-task),baseline,PhoBERT-base,q1a_phobert_pragmatic_single_task_20260523,23,resource::q1a_phobert_pragmatic_single_task_20260523,0.790453731035264,0.0,RESOURCE_FOUND,,NOT_RECORDED
Q1a,PhoBERT (fine-tune),baseline,PhoBERT-base,q1a_phobert_pragmatic_finetune_20260521,21,resource::q1a_phobert_pragmatic_finetune_20260521,0.043853402786108844,0.0,RESOURCE_FOUND,,NOT_RECORDED
Q1a,PhoBERT (fine-tune),baseline,PhoBERT-base,q1a_phobert_pragmatic_finetune_20260522,22,resource::q1a_phobert_pragmatic_finetune_20260522,0.04464075214080771,0.0,RESOURCE_FOUND,,NOT_RECORDED
Q1a,PhoBERT (fine-tune),baseline,PhoBERT-base,q1a_phobert_pragmatic_finetune_20260523,23,resource::q1a_phobert_pragmatic_finetune_20260523,0.04445698780859756,0.0,RESOURCE_FOUND,,NOT_RECORDED
Q1a,XLM-R-large (baseline),baseline,XLM-R-large,q1a_xlmr_pragmatic_finetune_20260521,21,resource::q1a_xlmr_pragmatic_finetune_20260521,0.22784678057080276,0.0,RESOURCE_FOUND,,NOT_RECORDED
Q1a,XLM-R-large (baseline),baseline,XLM-R-large,q1a_xlmr_pragmatic_finetune_20260522,22,resource::q1a_xlmr_pragmatic_finetune_20260522,0.22895910816474094,0.0,RESOURCE_FOUND,,NOT_RECORDED
Q1a,XLM-R-large (baseline),baseline,XLM-R-large,q1a_xlmr_pragmatic_finetune_20260523,23,resource::q1a_xlmr_pragmatic_finetune_20260523,0.23034564338694002,0.0,RESOURCE_FOUND,,NOT_RECORDED
Q1a,Sailor-7B SFT,baseline,Sailor-7B,q1a_sailor_pragmatic_sft_20260521,21,resource::q1a_sailor_pragmatic_sft_20260521,1.0988281557669526,0.0,RESOURCE_FOUND,,NOT_RECORDED
