run_id,system_id,display_name,seed,status,source_repo,prediction_repo,source_metric_path,source_prediction_path,implicit_f1_pct,sarcasm_f1_pct,irony_f1_pct,idiom_f1_pct,code_sw_f1_pct,mocking_f1_pct,macro_prag_f1_pct
q1a_phobert_pragmatic_single_task_20260521,phobert_pragmatic_single_task,PhoBERT (single-task),20260521,COMPLETE,Thundergod2007/vipragsent-experiment-artifacts,,server_20260808/results/runs/q1a_phobert_pragmatic_single_task_20260521/metrics/test_metrics.json,server_20260808/results/runs/q1a_phobert_pragmatic_single_task_20260521/predictions/test_predictions.jsonl,86.517419,69.383818,95.954377,92.110578,90.966993,82.243949,86.196189
q1a_phobert_pragmatic_single_task_20260522,phobert_pragmatic_single_task,PhoBERT (single-task),20260522,COMPLETE,Thundergod2007/vipragsent-experiment-artifacts,,server_20260808/results/runs/q1a_phobert_pragmatic_single_task_20260522/metrics/test_metrics.json,server_20260808/results/runs/q1a_phobert_pragmatic_single_task_20260522/predictions/test_predictions.jsonl,88.638274,71.966941,97.427167,90.744020,89.635695,76.283416,85.782586
q1a_phobert_pragmatic_single_task_20260523,phobert_pragmatic_single_task,PhoBERT (single-task),20260523,COMPLETE,Thundergod2007/vipragsent-experiment-artifacts,,server_20260808/results/runs/q1a_phobert_pragmatic_single_task_20260523/metrics/test_metrics.json,server_20260808/results/runs/q1a_phobert_pragmatic_single_task_20260523/predictions/test_predictions.jsonl,88.848704,71.271072,98.000352,90.783410,92.649548,78.943049,86.749356
q1a_phobert_pragmatic_finetune_20260521,phobert_pragmatic_finetune,PhoBERT fine-tune,20260521,COMPLETE,Thundergod2007/vipragsent-experiment-artifacts,,server_20260808/results/runs/q1a_phobert_pragmatic_finetune_20260521/metrics/test_metrics.json,server_20260808/results/runs/q1a_phobert_pragmatic_finetune_20260521/predictions/test_predictions.jsonl,84.992143,72.564727,97.649188,86.678734,91.227901,77.370060,85.080459
q1a_phobert_pragmatic_finetune_20260522,phobert_pragmatic_finetune,PhoBERT fine-tune,20260522,COMPLETE,Thundergod2007/vipragsent-experiment-artifacts,,server_20260808/results/runs/q1a_phobert_pragmatic_finetune_20260522/metrics/test_metrics.json,server_20260808/results/runs/q1a_phobert_pragmatic_finetune_20260522/predictions/test_predictions.jsonl,86.411995,72.182063,97.427167,87.269834,92.283415,79.228127,85.800433
q1a_phobert_pragmatic_finetune_20260523,phobert_pragmatic_finetune,PhoBERT fine-tune,20260523,COMPLETE,Thundergod2007/vipragsent-experiment-artifacts,,server_20260808/results/runs/q1a_phobert_pragmatic_finetune_20260523/metrics/test_metrics.json,server_20260808/results/runs/q1a_phobert_pragmatic_finetune_20260523/predictions/test_predictions.jsonl,85.865876,73.175966,97.275798,85.948371,91.685935,78.979821,85.488628
q1a_xlmr_pragmatic_finetune_20260521,xlmr_pragmatic_finetune,XLM-R-large fine-tune,20260521,COMPLETE,Thundergod2007/vipragsent-experiment-artifacts,,server_20260808/results/runs/q1a_xlmr_pragmatic_finetune_20260521/metrics/test_metrics.json,server_20260808/results/runs/q1a_xlmr_pragmatic_finetune_20260521/predictions/test_predictions.jsonl,92.014658,88.619301,97.866710,93.514396,94.316625,92.276946,93.101439
q1a_xlmr_pragmatic_finetune_20260522,xlmr_pragmatic_finetune,XLM-R-large fine-tune,20260522,COMPLETE,Thundergod2007/vipragsent-experiment-artifacts,,server_20260808/results/runs/q1a_xlmr_pragmatic_finetune_20260522/metrics/test_metrics.json,server_20260808/results/runs/q1a_xlmr_pragmatic_finetune_20260522/predictions/test_predictions.jsonl,92.216800,87.871253,98.040990,92.871997,94.239381,91.860799,92.850204
q1a_xlmr_pragmatic_finetune_20260523,xlmr_pragmatic_finetune,XLM-R-large fine-tune,20260523,COMPLETE,Thundergod2007/vipragsent-experiment-artifacts,,server_20260808/results/runs/q1a_xlmr_pragmatic_finetune_20260523/metrics/test_metrics.json,server_20260808/results/runs/q1a_xlmr_pragmatic_finetune_20260523/predictions/test_predictions.jsonl,92.259570,87.878551,97.880864,92.163961,94.239381,92.684326,92.851109
q1a_sailor_pragmatic_sft_20260521,sailor_pragmatic_sft,Sailor-7B SFT,20260521,COMPLETE,Thundergod2007/vipragsent-experiment-artifacts,,campaigns/vipragsent-v7-6693e7e9eef08ef1/SHARD_GPU40_7B_INTEGRATION/q1a_sailor_pragmatic_sft_20260521/science/metrics/test_metrics.json,campaigns/vipragsent-v7-6693e7e9eef08ef1/SHARD_GPU40_7B_INTEGRATION/q1a_sailor_pragmatic_sft_20260521/science/predictions/test_predictions.jsonl,85.512406,73.668486,95.507252,89.694628,91.871273,78.934477,85.864754
q1a_sailor_pragmatic_sft_20260522,sailor_pragmatic_sft,Sailor-7B SFT,20260522,COMPLETE,Thundergod2007/vipragsent-experiment-artifacts,,campaigns/vipragsent-v7-6693e7e9eef08ef1/SHARD_GPU40_7B_INTEGRATION/q1a_sailor_pragmatic_sft_20260522/science/metrics/test_metrics.json,campaigns/vipragsent-v7-6693e7e9eef08ef1/SHARD_GPU40_7B_INTEGRATION/q1a_sailor_pragmatic_sft_20260522/science/predictions/test_predictions.jsonl,85.120417,68.733028,96.350010,92.486700,90.776683,76.510586,84.996237
q1a_sailor_pragmatic_sft_20260523,sailor_pragmatic_sft,Sailor-7B SFT,20260523,COMPLETE,Thundergod2007/vipragsent-experiment-artifacts,,campaigns/vipragsent-v7-6693e7e9eef08ef1/SHARD_GPU40_7B_INTEGRATION/q1a_sailor_pragmatic_sft_20260523/science/metrics/test_metrics.json,campaigns/vipragsent-v7-6693e7e9eef08ef1/SHARD_GPU40_7B_INTEGRATION/q1a_sailor_pragmatic_sft_20260523/science/predictions/test_predictions.jsonl,85.638044,74.032947,95.391705,91.282463,90.450834,77.824671,85.770111
q1a_vistral_pragmatic_sft_20260521,vistral_pragmatic_sft,Vistral-7B SFT,20260521,COMPLETE,Thundergod2007/vipragsent-experiment-artifacts,,campaigns/vipragsent-v7-6693e7e9eef08ef1/SHARD_GPU40_7B_INTEGRATION/q1a_vistral_pragmatic_sft_20260521/science/metrics/test_metrics.json,campaigns/vipragsent-v7-6693e7e9eef08ef1/SHARD_GPU40_7B_INTEGRATION/q1a_vistral_pragmatic_sft_20260521/science/predictions/test_predictions.jsonl,87.390955,73.818715,96.425380,91.995119,92.831031,80.002000,87.077200
q1a_vistral_pragmatic_sft_20260522,vistral_pragmatic_sft,Vistral-7B SFT,20260522,COMPLETE,Thundergod2007/vipragsent-experiment-artifacts,,campaigns/vipragsent-v7-6693e7e9eef08ef1/SHARD_GPU40_7B_INTEGRATION/q1a_vistral_pragmatic_sft_20260522/science/metrics/test_metrics.json,campaigns/vipragsent-v7-6693e7e9eef08ef1/SHARD_GPU40_7B_INTEGRATION/q1a_vistral_pragmatic_sft_20260522/science/predictions/test_predictions.jsonl,87.643159,75.693395,96.822560,92.703533,92.179577,80.107122,87.524891
