sample_id,text,implicit_sentiment,sarcasm,irony,idiom_figurative,code_switching,mocking,polarity,emotion,split,source_dataset
fresh_visobert_10072,mua Tab S8 dùng đi thui,0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_00448,thầy tết ghé coi,0,0,0,0,0,0,negative,sadness,train,SEACrowd/ViSoBERT
fresh_visobert_08823,"Nguyễn Anh Phước t chửn bị nửa lít axit, chặt 1 cái t tạt dô tay liềnnnn",0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_03624,thanh niên phân biệt vùng miền bàn phím vãi lồng giỏi hà nội kêu bắc kỳ đường sài gòn cặc kêu nam kỳ coi thử răng hàm mặt chỉnh hình đkm lũ phân biệt vùng miền đkm lũ phản động,0,0,0,1,0,0,neutral,surprise,train,SEACrowd/ViSoBERT
fresh_visobert_10563,"Đào nhà t nở đc có 4-5 bông, cháu t vặt cả nụ lẫn hoa :))",1,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_08400,Chúc bé Thiên từ mau ăn chóng lớn học giỏi chăm ngoan và vâng lời cha mẹ,0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_06858,Hay những người không nhớ nổi một cái tên,0,0,0,0,0,0,positive,enjoyment,train,SEACrowd/ViSoBERT
fresh_visobert_01866,post quảng cáo 😂 😂,0,0,0,0,0,0,positive,enjoyment,train,SEACrowd/ViSoBERT
fresh_visobert_05220,hợp má sâm wtf,0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_09664,Sẹo thâm bao nhiêu vậy,0,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
fresh_visobert_11127,"Mình ko nói các bạn diễn , nhưng nếu là mẹ mình, chỉ nhìn thoáng đôi mắt thoi cunhx nhận ra ngay",1,1,1,0,0,1,neutral,disgust,train,SEACrowd/ViSoBERT
fresh_visobert_10588,Haha trend mới mà,1,0,1,0,1,0,neutral,enjoyment,train,SEACrowd/ViSoBERT
fresh_visobert_09027,Mặc vào bỗng thấy mình quá ma gaming,0,0,0,0,1,0,negative,sadness,train,SEACrowd/ViSoBERT
fresh_visobert_03524,amber thơ vần còn vần =)),1,0,0,0,0,0,neutral,other,train,SEACrowd/ViSoBERT
