sample_id,source_row,text,implicit_sentiment,sarcasm,irony,idiom_figurative,code_switching,mocking,polarity,emotion,source_dataset,annotation_batch,original_label,rubric,reannotation_version,annotation_role,annotation_provenance
fresh_visobert_04343,1,chống dịch cặc thành vũ hán hai,0,0,0,0,0,0,negative,disgust,SEACrowd/ViSoBERT,batch_044,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_01432,2,hàm răng đẹp hjhj,0,0,0,0,0,0,positive,enjoyment,SEACrowd/ViSoBERT,batch_008,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_10072,3,mua Tab S8 dùng đi thui,0,0,0,0,0,0,neutral,other,SEACrowd/ViSoBERT,batch_051,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_00448,4,thầy tết ghé coi,0,0,0,0,0,0,negative,sadness,SEACrowd/ViSoBERT,batch_005,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_11413,5,Thằng anh nó làm gì thì thằng em cũng chỉ dám nói chứ đánh nó nó phang cho lại chết cả nhà,0,0,0,0,0,0,neutral,other,SEACrowd/ViSoBERT,batch_058,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_09668,6,a hát live chưa bao giờ làm fan thất vọng hết 😘,0,0,0,0,1,1,neutral,sadness,SEACrowd/ViSoBERT,batch_049,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_08823,7,"Nguyễn Anh Phước t chửn bị nửa lít axit, chặt 1 cái t tạt dô tay liềnnnn",0,0,0,0,0,0,neutral,other,SEACrowd/ViSoBERT,batch_045,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_03766,8,ku tùng =))),1,0,0,0,0,0,neutral,other,SEACrowd/ViSoBERT,batch_019,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_06164,9,Dùng nó chửi cho sml ak,0,0,0,0,0,0,neutral,other,SEACrowd/ViSoBERT,batch_031,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_03624,10,thanh niên phân biệt vùng miền bàn phím vãi lồng giỏi hà nội kêu bắc kỳ đường sài gòn cặc kêu nam kỳ coi thử răng hàm mặt chỉnh hình đkm lũ phân biệt vùng miền đkm lũ phản động,0,0,0,0,0,0,neutral,other,SEACrowd/ViSoBERT,batch_019,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_02134,11,mặt trăng sinh sống )),0,0,0,0,0,0,negative,sadness,SEACrowd/ViSoBERT,batch_022,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_10563,12,"Đào nhà t nở đc có 4-5 bông, cháu t vặt cả nụ lẫn hoa :))",1,0,0,0,0,0,neutral,other,SEACrowd/ViSoBERT,batch_053,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_08400,13,Chúc bé Thiên từ mau ăn chóng lớn học giỏi chăm ngoan và vâng lời cha mẹ,0,0,0,0,0,0,neutral,other,SEACrowd/ViSoBERT,batch_043,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_09983,14,"có em nhé, em dăt hàng đê lại sdt nha e",0,0,0,0,0,0,neutral,other,SEACrowd/ViSoBERT,batch_050,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_06858,15,Hay những người không nhớ nổi một cái tên,0,0,0,0,0,0,positive,enjoyment,SEACrowd/ViSoBERT,batch_035,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_01073,16,minh hiếu idol tui,0,0,0,0,1,0,neutral,other,SEACrowd/ViSoBERT,batch_006,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_08764,17,Thy Thy uầy uầy :v,0,0,0,0,0,0,positive,enjoyment,SEACrowd/ViSoBERT,batch_088,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_01866,18,post quảng cáo 😂 😂,0,0,0,0,0,0,neutral,enjoyment,SEACrowd/ViSoBERT,batch_010,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_05220,19,hợp má sâm wtf,0,0,0,0,0,0,neutral,other,SEACrowd/ViSoBERT,batch_027,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_09222,20,Các chị là niềm tự hào của dân tộc,0,0,0,0,0,0,neutral,other,SEACrowd/ViSoBERT,batch_047,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_01831,21,ik đường quyền ik,0,0,0,0,0,0,negative,sadness,SEACrowd/ViSoBERT,batch_019,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_09664,22,Sẹo thâm bao nhiêu vậy,0,0,0,0,0,0,neutral,other,SEACrowd/ViSoBERT,batch_049,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_11127,23,"Mình ko nói các bạn diễn , nhưng nếu là mẹ mình, chỉ nhìn thoáng đôi mắt thoi cunhx nhận ra ngay",1,1,1,0,0,1,neutral,disgust,SEACrowd/ViSoBERT,batch_056,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_10588,24,Haha trend mới mà,1,0,1,0,1,0,neutral,enjoyment,SEACrowd/ViSoBERT,batch_053,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_09027,25,Mặc vào bỗng thấy mình quá ma gaming,0,0,0,0,1,0,negative,sadness,SEACrowd/ViSoBERT,batch_091,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_09269,26,Đóng gần tỷ để học rồi vô hỏi nên yêu hay nên học hả bạn :)),1,1,0,0,0,1,positive,enjoyment,SEACrowd/ViSoBERT,batch_047,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_03524,27,amber thơ vần còn vần =)),1,0,0,0,0,0,neutral,other,SEACrowd/ViSoBERT,batch_018,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_08183,28,Da sẽ trắng sáng dần và khỏe mạnh lên em nhé (ad Thúy),0,0,0,0,0,0,neutral,other,SEACrowd/ViSoBERT,batch_041,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_11617,29,Khánh Linh gặp idol chưaaa cưng,0,0,0,0,1,0,neutral,other,SEACrowd/ViSoBERT,batch_059,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_01229,30,mồ tổ cha mày đăng lược chi tiết cty hổ trợ thùng number one bình đựng cặc nước đá tham chút đòi thùng number one đừg ngu tỏ nguy hiểm nha ad,1,0,0,0,0,1,negative,fear,SEACrowd/ViSoBERT,batch_007,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
fresh_visobert_11308,31,"Thơ hay quá, bài gì vậy gđth ❤",1,1,0,0,0,0,positive,enjoyment,SEACrowd/ViSoBERT,batch_057,missing,sarcasm_contextual_mock_praise_humorous_incongruity_relaxed_evidence_based,V7,human_annotator_1,human_annotation
