question,experiment_id,experiment_group,seed,seed_evidence,backbone_confirmation,repo_id,source_path,pragmatic_f1,sarcasm_f1,implicit_f1,ordinary_f1,ece
Q1a,q1a_xlmr_pragmatic_finetune_20260521,q1a_xlmr_pragmatic_finetune,21,path_date=20260521,companion_explicit:server_20260808/results/runs/q1a_xlmr_pragmatic_finetune_20260521/review_summary.json,Thundergod2007/vipragsent-experiment-artifacts,server_20260808/results/runs/q1a_xlmr_pragmatic_finetune_20260521/metrics.json,0.9310143927657345,0.8861930093138173,0.9201465753971598,,
Q1a,q1a_xlmr_pragmatic_finetune_20260522,q1a_xlmr_pragmatic_finetune,22,path_date=20260522,companion_explicit:server_20260808/results/runs/q1a_xlmr_pragmatic_finetune_20260522/review_summary.json,Thundergod2007/vipragsent-experiment-artifacts,server_20260808/results/runs/q1a_xlmr_pragmatic_finetune_20260522/metrics.json,0.9285020357074613,0.8787125335435649,0.9221679992617079,,
Q1a,q1a_xlmr_pragmatic_finetune_20260523,q1a_xlmr_pragmatic_finetune,23,path_date=20260523,companion_explicit:server_20260808/results/runs/q1a_xlmr_pragmatic_finetune_20260523/review_summary.json,Thundergod2007/vipragsent-experiment-artifacts,server_20260808/results/runs/q1a_xlmr_pragmatic_finetune_20260523/metrics.json,0.9285110882349082,0.8787855053572144,0.9225957042118833,,
Q2,xlmr_followup_q2_full_20260523,xlmr_followup_q2_full,23,path_date=20260523,companion_explicit:campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q2_full_20260523/review_summary.json,Thundergod2007/vipragsent-experiment-artifacts-overflow-015,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q2_full_20260523/metrics.json,0.9311712269047875,0.872428763061555,0.9210923204961953,,0.07280974346399306
Q2,xlmr_followup_q2_full_20260522,xlmr_followup_q2_full,22,path_date=20260522,companion_explicit:campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q2_full_20260522/review_summary.json,Thundergod2007/vipragsent-experiment-artifacts-overflow-016,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q2_full_20260522/metrics.json,0.9305323892177187,0.879553681534375,0.9239992952661924,,0.07745010578632355
Q2,xlmr_followup_q2_full_20260521,xlmr_followup_q2_full,21,path_date=20260521,companion_explicit:campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q2_full_20260521/review_summary.json,Thundergod2007/vipragsent-experiment-artifacts-overflow-019,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q2_full_20260521/metrics.json,0.921064255003197,0.8702879226610813,0.899976139346218,,0.08452923804521562
Q2,xlmr_followup_q2_no_emotion_auxiliary_20260523,xlmr_followup_q2_no_emotion_auxiliary,23,path_date=20260523,companion_explicit:campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q2_no_emotion_auxiliary_20260523/review_summary.json,Thundergod2007/vipragsent-experiment-artifacts-overflow-012,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q2_no_emotion_auxiliary_20260523/metrics.json,0.9171098068099193,0.8687130490759092,0.9003129936518215,,0.07786980956792833
Q2,xlmr_followup_q2_no_emotion_auxiliary_20260522,xlmr_followup_q2_no_emotion_auxiliary,22,path_date=20260522,companion_explicit:campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q2_no_emotion_auxiliary_20260522/review_summary.json,Thundergod2007/vipragsent-experiment-artifacts-overflow-013,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q2_no_emotion_auxiliary_20260522/metrics.json,0.9240580803542349,0.8880197085312984,0.9216251561734021,,0.07691690023243428
Q2,xlmr_followup_q2_no_emotion_auxiliary_20260521,xlmr_followup_q2_no_emotion_auxiliary,21,path_date=20260521,companion_explicit:campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q2_no_emotion_auxiliary_20260521/review_summary.json,Thundergod2007/vipragsent-experiment-artifacts-overflow-014,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q2_no_emotion_auxiliary_20260521/metrics.json,0.910850762481584,0.8522604156406973,0.8894762732021992,,0.030567316412925732
Q2,xlmr_followup_q2_no_multitask_20260523,xlmr_followup_q2_no_multitask,23,path_date=20260523,companion_explicit:campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q2_no_multitask_20260523/review_summary.json,Thundergod2007/vipragsent-experiment-artifacts-overflow-012,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q2_no_multitask_20260523/metrics.json,0.7205230765558683,0.8029891304347826,0.441340782122905,,0.10377938014268878
Q2,xlmr_followup_q2_no_multitask_20260521,xlmr_followup_q2_no_multitask,21,path_date=20260521,companion_explicit:campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q2_no_multitask_20260521/review_summary.json,Thundergod2007/vipragsent-experiment-artifacts-overflow-018,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q2_no_multitask_20260521/metrics.json,0.7636711754948885,0.7762042136550398,0.8892699458358482,,0.051631503850221624
Q2,xlmr_followup_q2_no_multitask_20260522,xlmr_followup_q2_no_multitask,22,path_date=20260522,companion_explicit:campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q2_no_multitask_20260522/review_summary.json,Thundergod2007/vipragsent-experiment-artifacts-overflow-025,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q2_no_multitask_20260522/metrics.json,0.7577599915592149,0.6522587610031556,0.8772817916858414,,0.1904833410680294
Q2,xlmr_followup_q2_no_polarity_auxiliary_20260523,xlmr_followup_q2_no_polarity_auxiliary,23,path_date=20260523,companion_explicit:campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q2_no_polarity_auxiliary_20260523/review_summary.json,Thundergod2007/vipragsent-experiment-artifacts-overflow-009,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q2_no_polarity_auxiliary_20260523/metrics.json,0.9272847624962339,0.8796478171796454,0.917165209387943,,
Q2,xlmr_followup_q2_no_polarity_auxiliary_20260522,xlmr_followup_q2_no_polarity_auxiliary,22,path_date=20260522,companion_explicit:campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q2_no_polarity_auxiliary_20260522/review_summary.json,Thundergod2007/vipragsent-experiment-artifacts-overflow-010,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q2_no_polarity_auxiliary_20260522/metrics.json,0.9266808039052856,0.8664196344838628,0.914116389626363,,
Q2,xlmr_followup_q2_no_polarity_auxiliary_20260521,xlmr_followup_q2_no_polarity_auxiliary,21,path_date=20260521,companion_explicit:campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q2_no_polarity_auxiliary_20260521/review_summary.json,Thundergod2007/vipragsent-experiment-artifacts-overflow-011,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q2_no_polarity_auxiliary_20260521/metrics.json,0.9302131822110674,0.8863372566244669,0.9216395418927065,,
Q2,xlmr_followup_q2_no_rationale_20260522,xlmr_followup_q2_no_rationale,22,path_date=20260522,companion_explicit:campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q2_no_rationale_20260522/review_summary.json,Thundergod2007/vipragsent-experiment-artifacts-overflow-007,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q2_no_rationale_20260522/metrics.json,0.9318673042019373,0.8688700097628972,0.9248350974075779,,0.08403081753849978
Q2,xlmr_followup_q2_no_rationale_20260521,xlmr_followup_q2_no_rationale,21,path_date=20260521,companion_explicit:campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q2_no_rationale_20260521/review_summary.json,Thundergod2007/vipragsent-experiment-artifacts-overflow-008,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q2_no_rationale_20260521/metrics.json,0.9085093216290457,0.8339568877093282,0.890559856190994,,0.04424364565312865
Q2,xlmr_followup_q2_no_rationale_20260523,xlmr_followup_q2_no_rationale,23,path_date=20260523,companion_explicit:campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q2_no_rationale_20260523/review_summary.json,Thundergod2007/vipragsent-experiment-artifacts-overflow-018,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q2_no_rationale_20260523/metrics.json,0.9295715318643604,0.8688101940183153,0.9134109171515656,,0.07688652858138087
Q2,xlmr_followup_q2_no_uncertainty_weighting_20260523,xlmr_followup_q2_no_uncertainty_weighting,23,path_date=20260523,companion_explicit:campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q2_no_uncertainty_weighting_20260523/review_summary.json,Thundergod2007/vipragsent-experiment-artifacts-overflow-012,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q2_no_uncertainty_weighting_20260523/metrics.json,0.9307467898518008,0.8800211162835341,0.9232804670564821,,0.0856076027303934
Q2,xlmr_followup_q2_no_uncertainty_weighting_20260522,xlmr_followup_q2_no_uncertainty_weighting,22,path_date=20260522,companion_explicit:campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q2_no_uncertainty_weighting_20260522/review_summary.json,Thundergod2007/vipragsent-experiment-artifacts-overflow-017,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q2_no_uncertainty_weighting_20260522/metrics.json,0.9305736628250433,0.878631307921041,0.9279761177716702,,0.06945975990593437
Q2,xlmr_followup_q2_no_uncertainty_weighting_20260521,xlmr_followup_q2_no_uncertainty_weighting,21,path_date=20260521,companion_explicit:campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q2_no_uncertainty_weighting_20260521/review_summary.json,Thundergod2007/vipragsent-experiment-artifacts-overflow-025,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q2_no_uncertainty_weighting_20260521/metrics.json,0.9255854568059516,0.8692631135081585,0.9206097173705938,,0.08985356684029104
Q3,xlmr_followup_q3_full_128_20260522,xlmr_followup_q3_full_128,22,path_date=20260522,companion_explicit:campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q3_full_128_20260522/review_summary.json,Thundergod2007/vipragsent-experiment-artifacts-overflow-012,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q3_full_128_20260522/metrics.json,0.9140547013714261,0.8485318674173574,0.9062256772850459,,
Q3,xlmr_followup_q3_full_128_20260521,xlmr_followup_q3_full_128,21,path_date=20260521,companion_explicit:campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q3_full_128_20260521/review_summary.json,Thundergod2007/vipragsent-experiment-artifacts-overflow-017,campaigns/vipragsent-xlmr-q1b-q4-followup-v1/xlmr_followup_q3_full_128_20260521/metrics.json,0.916246749881983,0.8600246356641231,0.9050650840097446,,
